"ID","LAT","LON","DEPTH","YEAR","MONTH","DAY","TEMP","NITRATE","SILICATE","PHOSPHATE","TCHL","ALPHA","PMB","PROVNUM","EK"
1,18.5015,-21.10883333,49.848,1992,6,18,21.078,1.18,NA,0.22,0.298,0.05873,7.87814,7,134.141665247744
1,21.034,-31.19233333,3.026,1992,6,21,23.638,0,NA,0,0.045,0.00966,7.98321,7,826.419254658385
1,21.034,-31.19233333,20.602,1992,6,21,23.562,0,NA,0,0.051,0.01074,8.41237,7,783.274674115456
1,21.034,-31.19233333,50.504,1992,6,21,23.127,0,NA,0,0.069,0.01661,6.2302,7,375.087296809151
1,21.034,-31.19233333,71.284,1992,6,21,22.369,0,NA,0,0.102,0.02399,4.52722,7,188.712796998749
1,21.034,-31.19233333,90.335,1992,6,21,21.913,0,NA,0,0.161,0.03192,2.79191,7,87.4658521303258
1,21.034,-31.19233333,99.039,1992,6,21,21.73,0,NA,0,0.21,0.03444,2.68151,7,77.8603368176539
1,21.034,-31.19233333,109.389,1992,6,21,21.578,0.03,NA,0,0.245,0.04296,2.78256,7,64.7709497206704
1,21.034,-31.19233333,120.023,1992,6,21,21.251,0.21,NA,0,0.211,0.07823,2.32632,7,29.7369295666624
1,NA,NA,5,1992,6,22,NA,NA,NA,NA,0.117,0.00343,1.36399,9,397.66472303207
1,NA,NA,15,1992,6,22,NA,NA,NA,NA,0.043,0.00799,4.26159,9,533.365456821026
1,NA,NA,30,1992,6,22,NA,NA,NA,NA,0.043,0.01332,5.14054,9,385.926426426426
1,NA,NA,50,1992,6,22,NA,0.02,NA,0,0.045,0.01807,4.98237,9,275.726065301605
1,NA,NA,70,1992,6,22,NA,0.02,NA,0,0.056,0.00962,3.04905,9,316.949064449064
1,NA,NA,90,1992,6,22,NA,2,NA,0,0.12,0.014,0.9205,9,65.75
1,NA,NA,100,1992,6,22,NA,0.01,NA,0,0.133,0.01802,1.08614,9,60.2741398446171
1,NA,NA,110,1992,6,22,NA,0,NA,0,0.179,0.03335,1.38801,9,41.6194902548726
1,NA,NA,120,1992,6,22,NA,0.77,NA,0.04,0.267,0.03939,1.14475,9,29.0619446560041
1,21.04866667,-31.168,12.211,1992,6,22,23.604,0,NA,0,0.046,0.00902,5.88552,7,652.49667405765
1,21.04866667,-31.168,40.194,1992,6,22,23.415,0,NA,0,0.06,0.0081,6.46126,7,797.686419753087
1,21.04866667,-31.168,79.519,1992,6,22,22.086,0,NA,0,0.141,0.02036,3.01388,7,148.029469548134
1,21.04866667,-31.168,99.637,1992,6,22,21.689,0,NA,0,0.195,0.0312,2.67891,7,85.8625
